input,output
8.611510068,66.63672177
3.368035671,4.436389749
8.990964135,65.81355377
9.874184215,50.17863062
4.076078887,31.92543741
9.883185893,39.52931638
4.934839888,27.1140939
0.871901215,6.773284631
7.893391838,38.39553101
8.903357134,37.14465096
2.142545934,13.90139697
1.931288056,6.875529661
2.444306586,9.41164422
2.773899323,21.0497549
8.53708028,49.8383089
3.438181384,22.44233591
6.584847029,25.2845102
8.804950982,49.96990111
1.652763846,22.25029171
0.908448098,14.23069163
6.039275382,31.91087988
7.301851792,48.27527223
6.106647781,52.66184835
8.78948538,52.23101419
6.708916973,37.01020383
3.12165231,22.97647659
8.240863436,48.26123461
2.245377001,3.943079896
0.159997392,8.908823965
9.21725286,60.92080742
6.001284823,36.35698505
9.94726252,67.49856661
2.625373969,26.11146208
8.584047921,47.83738883
6.382937482,26.81418457
9.003973489,58.38194525
0.823968924,9.365633162
7.741029934,41.14324964
4.141851781,23.55352038
0.720030517,22.45904112
4.633404017,37.69304717
9.132562597,41.54246754
6.001807466,27.65245111
3.854170198,13.44872072
6.454620104,38.34534085
2.596374388,23.31920406
0.206238161,15.03880316
6.165178943,39.15431307
6.056173507,31.96230134
9.627699385,61.88186709
7.557201071,42.29023912
2.345369714,4.749739398
9.150701984,52.59860456
1.980256744,7.427984026
0.111903828,-9.128952371
5.010682989,20.52472004
2.858803295,28.59550609
5.355923434,29.83958707
2.133573034,11.81666074
3.380994906,3.441796947
0.380624712,17.87703371
8.355660582,36.44010759
4.630250304,29.96790154
1.334171507,7.037108943
9.217240218,54.71473729
9.336051341,47.16147896
2.632270153,34.62099563
8.675356113,46.32526281
3.420058628,31.29026446
9.595217902,56.69133077
0.616486066,14.01383795
5.635607245,24.24413446
7.666256371,44.52201953
9.490957367,51.02514275
9.471330298,46.58320756
5.572018988,45.19771135
2.404948799,17.70291671
3.140823996,25.86636847
3.852946474,21.87364112
8.127954087,39.22004765
7.085453029,41.08369234
2.270622522,14.51256645
3.193249661,24.16935446
8.18656892,39.471262
9.431730032,53.95219254
4.451117758,37.19430555
2.947692126,3.668794172
0.308253577,5.963350489
7.931236529,34.59454936
4.568036605,22.71048189
1.318078691,1.915814963
2.295353032,21.35296743
8.888336041,56.35830502
0.302624205,14.08024306
3.589289467,23.52040878
8.548688931,42.75172393
4.851257601,34.52503346
1.736563843,10.59555876
9.155703545,49.3363974
6.195691476,44.28073786
